Restaurant Name,Area,Restaurant type,Ratings,Number of ratings,price,Address
KFC,Gulshan,Fast Food,4.2,1155,2,"2nd Floor, RM Center, House-101, Road 37 Gulshan Ave"
Turkish Bazaar & Restaurant,Banani,Turkish,4.2,646,2,"House 48/E, Rd No 13C"
Casagreek Restaurant,Banani,Restaurant,4,31,1,"Road-10, House-23, Block-E, Enamul Hoq Chowdhury Road"
Horse & Horse Patisserie,Gulshan,Restaurant,4.1,1163,3,"Plot: 53, Gulshan Ave"
A&W Restaurants Bangladesh,Gulshan,Restaurant,4.1,1232,3,"House No: 01, 1st Floor, Progress Tower, Road No 23"
Pan Tao Thai Cuisine,Banani,Thai,4,617,1,"House No 42, Block- E, Road No 12, Banani"
Pizza Hut,Gulshan,Pizza,4.2,886,2,"RM Center, House-101( 2nd Floor, Gulshan Ave"
Bamboo shoot,Gulshan,Restaurant,4.2,866,3,"1st Floor, RM Center, 101 Gulshan Ave"
"Japanese Restaurant ICHI in Banani, Dhaka.",Banani,Japanese,4,268,3,"House No 32, Level- 2, Blok- G, Rd No. 11"
Chef's Table,Gulshan,Food court,4.5,4620,1,"Level 2, 1212 Rd 90"
Sushi Tei Bangladesh,Gulshan,Japanese,4.3,790,3,Rd 112
Farmhouse Burger,Gulshan,Restaurant,4.4,1247,3,23 Gulshan Ave
Garlic 'n Ginger- Gulshan,Gulshan,Buffet,4.5,61,1,"10th floor, Jabbar Tower, 42 Gulshan Ave  In Jabbar Tower"
KHAZANA,Gulshan,Indian,4.3,39,1,"House#8, Road#53"
Umbrella Restaurant,Gulshan,Restaurant,3.8,266,2,In Navana Tower
Tarka Express,Gulshan,Indian,3.7,13,1,Chef's Table
New Gulshan Plaza Restora,Gulshan,Bangladeshi,3.5,2,1,"1, North D, C, C Market, Road No-97, Gulshan-2"
New Cathay,Banani,Chinese,3.9,407,2,72 Rd No. 11
Fakhruddin Restaurant,Gulshan,Restaurant,3.9,2185,2,"37, South Gulshan, Circle-1"
Pizza & More - All the Goodness of Sicilian Food,Gulshan,Pizza,4.5,113,1,House No- 9/A (NW1) (Ground Floor) Road No-53
Sky Pool Restaurant,Gulshan,Continental restaurant,4.1,224,1,"15th Floor, House 19 Rd 96"
Salam's Kitchen,Banani,Bangladeshi,4.1,2584,2,"1st Floor, House 30, Block D, Road 10"
Mejbani Khana,Banani,Restaurant,4.2,15,1,"Tower, 1st Floor, Delta Dalia, 36 Kemal Ataturk Ave"
Khushbu Biriani House,Gulshan,Bangladeshi,3.5,48,1,"Shop- 9, Bhaban Market, 2 Gulshan North Ave"
Sura Korean Restaurant,Gulshan,Korean,4.3,386,3,House 32 Rd No 43
Grand Buffet,Banani,Buffet,4.2,115,1,"ANZ Huq Eleven Square. Plot # 1, Road # 11, Block # H,13th & 14th Floor  In Anz Huq Eleven Square"
TOKYO KITCHEN,Gulshan,Japanese,4.1,500,1,House 1 Rd No. 54/A
Sawadee,Gulshan,Thai,3.6,13,1,"Plot No-1/B, Road-23, Gulshan-1"
Paturi,Banani,Restaurant,4.3,650,2,"House No, 03 Rd No 10B"
Raffinato Ristorante Italiano,Gulshan,Italian,4.3,200,1,H 9 Rd 36
Faisal Hotel And Restaurant,Gulshan,Bangladeshi,4,2,1,"House- 14, Road- 108, Gulshan- 2,"
