Restaurant Name,Area,Restaurant type,Ratings,Number of ratings,price,Address
Grand Buffet,Banani,Buffet,4.2,115,1,"ANZ Huq Eleven Square. Plot # 1, Road # 11, Block # H,13th & 14th Floor  In Anz Huq Eleven Square"
Dhakaiya Pakki - ঢাকাইয়া পাক্কি,Banani,Restaurant,4.3,251,1,37 Road-12
Paturi,Banani,Restaurant,4.3,650,2,"House No, 03 Rd No 10B"
HEXA Dine,Banani,Continental restaurant,4.4,152,1,"House: 34 (1st Floor), Green Regency, Road No: 10, Block- D"
Cheez Banani,Banani,Pizza,4.5,1546,2,"2nd Floor, House 37 Road-12"
Star Kebab & Restaurant,Banani,Restaurant,4.2,15445,2,"House-15 Rd no. 17, Block- C"
New Cathay,Banani,Chinese,3.9,407,2,72 Rd No. 11
Bukhara Restaurant,Banani,Indian,4.2,664,1,"17th Floor, Iqbal Center, 42 Kemal Ataturk Ave"
3 Dragons at Pearl,Banani,Chinese,3.9,461,3,"Rangs Pearl, Tower (3rd flor Thai & 4th Floor Sichuan Chinese, 76 Road-12"
Urban Spoon,Banani,Restaurant,4.1,266,2,116 Rd No. 11  In Fit Elegance Outlet
Comilla Hotel & Nasta Bitan,Banasree,Bangladeshi,3.4,71,1,"336, 2 TV Rd"
Ibrahim's Kitchen,Banasree,Restaurant,3.6,79,1,"180/6/Ka, East Rampura, Titash Road"
ALKADERIA Restaurant,Banasree,Restaurant,4.1,3548,2,"2/3, DIT Rd"
Golden Star Hotel & Restaurant,Banasree,Bangladeshi,3.8,56,1,"House-1, Road-3, Block-F"
Canton Chinese Restaurant & Bar,Banasree,Bar,3.9,85,1,29 E Hazipara
BAGICHA Restaurant,Banasree,Restaurant,3.8,193,2,"House # 8, Block # C,(1st Floor, Banasree Main Rd"
Chilli's Banasree,Banasree,Restaurant,4.1,245,1,House # 37 Rd Number 1
Al Kaderia Hotel & restaurant,Banasree,Restaurant,3.8,462,2,385/ka Banasree Rd 2
Alkaderia cafe,Banasree,Cafe,3.8,55,1,"257, DIT Rd"
Pizza Place,Banasree,Pizza,3.5,228,2,"House 35, Road 4, Block C, Banasree Rampura"
Kureghor Kabab south banasree,Banasree,Restaurant,4.2,273,1,রোড নং- ৭
